Date,"Cuttlefish"
2018-02-18,2564
2018-02-19,1976
2018-02-20,1990
2018-02-21,1751
2018-02-22,2255
2018-02-23,1575
2018-02-24,1524
2018-02-25,1642
2018-02-26,1837
2018-02-27,1771
2018-02-28,1625
2018-03-01,1703
2018-03-02,1526
2018-03-03,1453
2018-03-04,1719
2018-03-05,1780
2018-03-06,1567
2018-03-07,1555
2018-03-08,1638
2018-03-09,1713
2018-03-10,1457
2018-03-11,1633
2018-03-12,1789
2018-03-13,1706
2018-03-14,1744
2018-03-15,1679
2018-03-16,1566
2018-03-17,1439
2018-03-18,1734
2018-03-19,1876
2018-03-20,1694
2018-03-21,1540
2018-03-22,1612
2018-03-23,1603
2018-03-24,1559
2018-03-25,1822
2018-03-26,1589
2018-03-27,1450
2018-03-28,1857
2018-03-29,2710
2018-03-30,4650
2018-03-31,1681
2018-04-01,1638
2018-04-02,1868
2018-04-03,1622
2018-04-04,1534
2018-04-05,1544
2018-04-06,1485
2018-04-07,1447
2018-04-08,1593
2018-04-09,1706
2018-04-10,1518
2018-04-11,1638
2018-04-12,1487
2018-04-13,1403
2018-04-14,1225
2018-04-15,1496
2018-04-16,1600
2018-04-17,1640
2018-04-18,1486
2018-04-19,1516
2018-04-20,1463
2018-04-21,1279
2018-04-22,1507
2018-04-23,1580
2018-04-24,1726
2018-04-25,1798
2018-04-26,1790
2018-04-27,1570
2018-04-28,1327
2018-04-29,1436
2018-04-30,1576
2018-05-01,1467
2018-05-02,1491
2018-05-03,1387
2018-05-04,1629
2018-05-05,1452
2018-05-06,1546
2018-05-07,1998
2018-05-08,1804
2018-05-09,1975
2018-05-10,1990
2018-05-11,1693
2018-05-12,1416
2018-05-13,1999
2018-05-14,1851
2018-05-15,1730
2018-05-16,1675
2018-05-17,1819
2018-05-18,1957
2018-05-19,1547
2018-05-20,1770
2018-05-21,2003
2018-05-22,1876
2018-05-23,1663
2018-05-24,1658
2018-05-25,1661
2018-05-26,1313
2018-05-27,1519
2018-05-28,1587
2018-05-29,1524
2018-05-30,1624
2018-05-31,1448
2018-06-01,1524
2018-06-02,1586
2018-06-03,1814
2018-06-04,1719
2018-06-05,1551
2018-06-06,1701
2018-06-07,1476
2018-06-08,1744
2018-06-09,1391
2018-06-10,1529
2018-06-11,1773
2018-06-12,1777
2018-06-13,1388
2018-06-14,1383
2018-06-15,1406
2018-06-16,1353
2018-06-17,1890
2018-06-18,1581
2018-06-19,1661
2018-06-20,1520
2018-06-21,1533
2018-06-22,1524
2018-06-23,1710
2018-06-24,1643
2018-06-25,1574
2018-06-26,1548
2018-06-27,1717
2018-06-28,1569
2018-06-29,1773
2018-06-30,1341
2018-07-01,1742
2018-07-02,1755
2018-07-03,1514
2018-07-04,1550
2018-07-05,1555
2018-07-06,1415
2018-07-07,1486
2018-07-08,1652
2018-07-09,2034
2018-07-10,1488
2018-07-11,1401
2018-07-12,1345
2018-07-13,1365
2018-07-14,1457
2018-07-15,1457
2018-07-16,1411
2018-07-17,1431
2018-07-18,1596
2018-07-19,1741
2018-07-20,1515
2018-07-21,1397
2018-07-22,1625
2018-07-23,1498
2018-07-24,1732
2018-07-25,1443
2018-07-26,1446
2018-07-27,2392
2018-07-28,1796
2018-07-29,1746
2018-07-30,7264
2018-07-31,2270
2018-08-01,1681
2018-08-02,1496
